Year	DoY	Hour	NEE	PAR	T10
-	-	-	umolm-2s-1	umolm-2s-1	degC
2024	1	0	-9999	0	4.797
2024	1	0.5	-9999	0	4.8
2024	1	1	-9999	0	4.8
2024	1	1.5	-9999	0	4.8
2024	1	2	-9999	0	4.8
2024	1	2.5	-9999	0	4.8
2024	1	3	-9999	0	4.81
2024	1	3.5	-9999	0	4.803
2024	1	4	-9999	0	4.813
2024	1	4.5	-9999	0	4.817
2024	1	5	-9999	0	4.837
2024	1	5.5	-9999	0	4.84
2024	1	6	-9999	0	4.86
2024	1	6.5	-9999	0	4.883
2024	1	7	-9999	0	4.893
2024	1	7.5	-9999	0	4.897
2024	1	8	-9999	0	4.9
2024	1	8.5	-9999	0	4.9
2024	1	9	-9999	0	4.897
2024	1	9.5	-9999	0	4.897
2024	1	10	-9999	0	4.9
2024	1	10.5	-9999	46.74111651	4.897
2024	1	11	-9999	14.21046769	4.9
2024	1	11.5	-9999	6.915539349	4.9
2024	1	12	-9999	20.05561592	4.9
2024	1	12.5	-9999	49.31166341	4.9
2024	1	13	-9999	28.83517668	4.9
2024	1	13.5	-9999	5.040902063	4.9
2024	1	14	-9999	0	4.9
2024	1	14.5	-9999	0	4.9
2024	1	15	-9999	0	4.9
2024	1	15.5	-9999	0	4.9
2024	1	16	-9999	0	4.9
2024	1	16.5	-9999	0	4.9
2024	1	17	-9999	0	4.9
2024	1	17.5	-9999	0	4.9
2024	1	18	-9999	0	4.9
2024	1	18.5	-9999	0	4.907
2024	1	19	-9999	0	4.903
2024	1	19.5	-9999	0	4.91
2024	1	20	-9999	0	4.927
2024	1	20.5	-9999	0	4.953
2024	1	21	-9999	0	4.987
2024	1	21.5	-9999	0	4.997
2024	1	22	-9999	0	5
2024	1	22.5	-9999	0	5
2024	1	23	-9999	0	5
2024	1	23.5	-9999	0	5
2024	2	0	-9999	0	5
2024	2	0.5	-9999	0	5
2024	2	1	-9999	0	5
2024	2	1.5	-9999	0	5
2024	2	2	-9999	0	5
2024	2	2.5	-9999	0	5.003
2024	2	3	-9999	0	5
2024	2	3.5	-9999	0	5
2024	2	4	-9999	0	5.007
2024	2	4.5	-9999	0	5.003
2024	2	5	-9999	0	5.013
2024	2	5.5	-9999	0	5.01
2024	2	6	-9999	0	5.007
2024	2	6.5	-9999	0	5.03
2024	2	7	-9999	0	5.017
2024	2	7.5	-9999	0	5.027
2024	2	8	-9999	0	5.023
2024	2	8.5	-9999	0	5.04
2024	2	9	-9999	0	5.04
2024	2	9.5	-9999	2.909986688	5.05
2024	2	10	-9999	15.23595888	5.037
2024	2	10.5	-9999	20.78959788	5.037
2024	2	11	-9999	24.4506052	5.037
2024	2	11.5	-9999	18.46320653	5.043
2024	2	12	-9999	14.75162549	5.023
2024	2	12.5	-9999	14.28244528	5.017
2024	2	13	-9999	7.343427157	5.007
2024	2	13.5	-9999	0	5.01
2024	2	14	-9999	0	5.003
2024	2	14.5	-9999	18.718	4.93536
2024	2	15	-9999	0	5
2024	2	15.5	-9999	0	5
2024	2	16	-9999	0.382	4.93536
2024	2	16.5	-9999	0	5
2024	2	17	-9999	0	5
2024	2	17.5	-9999	0	5
2024	2	18	-9999	0	4.84103
2024	2	18.5	-9999	0	5
2024	2	19	-9999	0	5
2024	2	19.5	-9999	0	4.997
2024	2	20	9.62847	0	4.937
2024	2	20.5	-9999	0	4.92
2024	2	21	-9999	0	4.7467
2024	2	21.5	-9999	0	4.7467
2024	2	22	-9999	0	4.7467
2024	2	22.5	-9999	0	4.9
2024	2	23	-9999	0	4.897
2024	2	23.5	-9999	0	4.9
2024	3	0	-9999	0	4.84
2024	3	0.5	-9999	0	4.803
2024	3	1	-9999	0	4.8
2024	3	1.5	-9999	0	4.8
2024	3	2	-9999	0	4.797
2024	3	2.5	-9999	0	4.787
2024	3	3	-9999	0	4.717
2024	3	3.5	-9999	0	4.7
2024	3	4	-9999	0	4.7
2024	3	4.5	-9999	0	4.7
2024	3	5	-9999	0	4.683
2024	3	5.5	-9999	0	4.62
2024	3	6	-9999	0	4.603
2024	3	6.5	-9999	0	4.6
2024	3	7	-9999	0	4.597
2024	3	7.5	-9999	0	4.583
2024	3	8	-9999	0	4.523
2024	3	8.5	-9999	0	4.503
2024	3	9	-9999	31.98514314	4.5
2024	3	9.5	-9999	86.90252594	4.497
2024	3	10	-9999	97.83895191	4.467
2024	3	10.5	-9999	58.69488881	4.417
2024	3	11	-9999	69.53225088	4.4
2024	3	11.5	-9999	137.9245954	4.4
2024	3	12	-9999	151.9909099	4.397
2024	3	12.5	-9999	94.58139788	4.343
2024	3	13	-9999	84.81403946	4.3
2024	3	13.5	-9999	65.19105537	4.3
2024	3	14	-1.80142	35.55712555	4.3
2024	3	14.5	-0.62311	8.87579208	4.297
2024	3	15	0.879229	0	4.273
2024	3	15.5	-3.18925	0	4.227
2024	3	16	-0.946794	0	4.2
2024	3	16.5	0.941406	0	4.2
2024	3	17	0.558366	0	4.2
2024	3	17.5	0.561108	0	4.197
2024	3	18	0.602575	0	4.183
2024	3	18.5	0.934484	0	4.133
2024	3	19	0.983459	0	4.107
2024	3	19.5	0.766418	0	4.1
2024	3	20	1.33888	0	4.1
2024	3	20.5	0.757654	0	4.1
2024	3	21	0.728706	0	4.093
2024	3	21.5	1.14584	0	4.063
2024	3	22	0.760504	0	4.01
2024	3	22.5	1.34694	0	4
2024	3	23	0.679741	0	4
2024	3	23.5	1.02415	0	4
2024	4	0	0.672439	0	4
2024	4	0.5	0.959002	0	4
2024	4	1	0.928267	0	4
2024	4	1.5	0.777659	0	4
2024	4	2	0.848708	0	4
2024	4	2.5	0.495411	0	4
2024	4	3	0.707792	0	4
2024	4	3.5	0.905165	0	4
2024	4	4	0.832849	0	3.953
2024	4	4.5	0.763502	0	3.923
2024	4	5	0.81123	0	3.903
2024	4	5.5	0.934149	0	3.9
2024	4	6	0.852067	0	3.9
2024	4	6.5	0.779952	0	3.9
2024	4	7	0.87179	0	3.9
2024	4	7.5	1.03673	0	3.883
2024	4	8	0.755818	0	3.827
2024	4	8.5	1.16349	0	3.813
2024	4	9	0.924456	2.199681563	3.8
2024	4	9.5	1.03211	29.21987793	3.8
2024	4	10	0.771446	74.42218077	3.8
2024	4	10.5	1.035	101.5268561	3.8
2024	4	11	1.28667	106.7668243	3.767
2024	4	11.5	0.858748	136.1327323	3.73
2024	4	12	0.826451	108.8608038	3.703
2024	4	12.5	0.594327	99.39897134	3.7
2024	4	13	0.879731	53.00127235	3.7
2024	4	13.5	0.622982	82.31433366	3.7
2024	4	14	0.987327	66.17695888	3.7
2024	4	14.5	0.654533	36.19033889	3.693
2024	4	15	0.969035	0	3.633
2024	4	15.5	1.20169	0	3.603
2024	4	16	0.950429	0	3.6
2024	4	16.5	0.772734	0	3.6
2024	4	17	0.698316	0	3.6
2024	4	17.5	-9999	0	3.6
2024	4	18	-9999	0	3.6
2024	4	18.5	-9999	0	3.587
2024	4	19	-9999	0	3.54
