Year	DoY	Hour	NEE	PAR	T10
-	-	-	umolm-2s-1	umolm-2s-1	degC
2021	1	0	0.30391714	0.055	0.942
2021	1	0.5	0.34785274	0.074	0.942
2021	1	1	0.4224053	0.109	0.94
2021	1	1.5	0.38963479	0.156	0.941
2021	1	2	0.4411571	0.163	0.94
2021	1	2.5	0.3468129	0.159	0.939
2021	1	3	0.36573234	0.123	0.94
2021	1	3.5	0.37323549	0.093	0.939
2021	1	4	0.38057026	0.094	0.94
2021	1	4.5	0.36383954	0.083	0.939
2021	1	5	0.36969283	0.075	0.939
2021	1	5.5	0.36475167	0.066	0.939
2021	1	6	0.35832119	0.076	0.937
2021	1	6.5	0.459241	0.086	0.939
2021	1	7	0.42806777	0.113	0.939
2021	1	7.5	0.3267846	0.11	0.937
2021	1	8	0.34097037	0.093	0.937
2021	1	8.5	0.33454403	0.138	0.938
2021	1	9	0.25358877	0.355	0.938
2021	1	9.5	0.25599754	1.514	0.937
2021	1	10	0.073616	4.635	0.937
2021	1	10.5	0.3584923	7.936	0.937
2021	1	11	0.2201861	15.39	0.936
2021	1	11.5	0.2274388	18.25	0.936
2021	1	12	0.1484357	20.81	0.935
2021	1	12.5	0.19900416	22.22	0.935
2021	1	13	0.14941137	20.19	0.935
2021	1	13.5	0.16985013	16.02	0.934
2021	1	14	0.1996749	8.9	0.937
2021	1	14.5	0.22955967	2.696	0.937
2021	1	15	0.19051248	0.483	0.935
2021	1	15.5	0.15124619	0.099	0.934
2021	1	16	0.16535741	0.065	0.931
2021	1	16.5	0.16674602	0.055	0.932
2021	1	17	0.17682664	0.077	0.932
2021	1	17.5	0.16705833	0.071	0.933
2021	1	18	0.14540695	0.057	0.931
2021	1	18.5	0.13832851	0.055	0.931
2021	1	19	0.13790582	0.058	0.933
2021	1	19.5	0.17524487	0.059	0.931
2021	1	20	0.17510758	0.07	0.93
2021	1	20.5	0.2282232	0.065	0.931
2021	1	21	0.17116769	0.057	0.93
2021	1	21.5	0.164852	0.082	0.931
2021	1	22	0.15776527	0.066	0.929
2021	1	22.5	0.1300259	0.057	0.929
2021	1	23	0.18026575	0.055	0.931
2021	1	23.5	0.17489323	0.048	0.929
2021	2	0	0.15603249	0.059	0.93
2021	2	0.5	0.11665759	0.068	0.929
2021	2	1	0.2090217	0.056	0.93
2021	2	1.5	0.0740008	0.046	0.93
2021	2	2	0.1704311	0.062	0.93
2021	2	2.5	0.14421666	0.067	0.93
2021	2	3	0.12071421	0.074	0.93
